frame.number,frame.time_epoch,ip.src,ip.dst,ipv6.src,ipv6.dst,sctp.srcport,sctp.dstport,s1ap.ENB_UE_S1AP_ID,s1ap.MME_UE_S1AP_ID,s1ap.procedureCode
"1","1758134411.961896000","10.3.7.72","18.8.23.13",,,"36412","36412","5228","1526800","9"
"2","1758134411.961897000",,,"2600:300:20e2:a315::1:db85","2600:300:300a:2::6","42968","36412","1526800","131397447","9"
"3","1758134413.147843000","10.3.7.72","18.8.23.13",,,"36412","36412","5229",,"12"
"4","1758134413.147844000",,,"2001:4888:2010:22:106:4402:1:5273","2001:4888:2010:92:106:28a:0:42","57423","36412","53265",,"12"
"5","1758134413.147844000",,,"2001:4888:2010:92:106:28a:0:42","2001:4888:2010:22:106:4402:1:5273","36412","57423","1509392","3484313","23"
"6","1758134413.147845000","18.8.23.13","10.3.7.72",,,"36412","36412","5220","1509392","23"
"7","1758134413.147845000",,,"2001:4888:2010:92:106:28a:0:42","2001:4888:2010:22:106:4402:1:5273","36412","57423","53265","3663522","11"
"8","1758134413.147847000","18.8.23.13","10.3.7.72",,,"36412","36412","5229","53265","11"
"9","1758134413.147847000","10.3.7.72","18.8.23.13",,,"36412","36412","5220","1509392","23"
"10","1758134413.147848000",,,"2001:4888:2010:22:106:4402:1:5273","2001:4888:2010:92:106:28a:0:42","57423","36412","1509392","3484313","23"
"11","1758134413.147848000","10.3.7.72","18.8.23.13",,,"36412","36412","5229","53265","13"
"12","1758134413.147849000",,,"2001:4888:2010:22:106:4402:1:5273","2001:4888:2010:92:106:28a:0:42","57423","36412","53265","3663522","13"
"13","1758134413.147850000",,,"2001:4888:2010:92:106:28a:0:42","2001:4888:2010:22:106:4402:1:5273","36412","57423","53265","3663522","23"
"14","1758134413.147851000","18.8.23.13","10.3.7.72",,,"36412","36412","5229","53265","23"
"15","1758134413.147851000","10.3.7.72","18.8.23.13",,,"36412","36412","5229","53265","23"
"16","1758134413.147852000",,,"2001:4888:2010:22:106:4402:1:5273","2001:4888:2010:92:106:28a:0:42","57423","36412","53265","3663522","23"
